,a_img,a_embedding,b_img,b_embedding,genuine,a_gender_lfw,a_gender_insightface,a_pemiu_img,a_pemiu_gender_insightface
10,../data/lfw_align/Ann_Veneman/Ann_Veneman_0006.png,../data/features_cleaner/Ann_Veneman_0006.npy,../data/lfw_align/Ann_Veneman/Ann_Veneman_0010.png,../data/features_cleaner/Ann_Veneman_0010.npy,True,F,F,sample_images/Ann_Veneman_0006_pemiu.png,M
11,../data/lfw_align/Ann_Veneman/Ann_Veneman_0010.png,../data/features_cleaner/Ann_Veneman_0010.npy,../data/lfw_align/Ann_Veneman/Ann_Veneman_0011.png,../data/features_cleaner/Ann_Veneman_0011.npy,True,F,F,sample_images/Ann_Veneman_0010_pemiu.png,F
12,../data/lfw_align/Anthony_Fauci/Anthony_Fauci_0001.png,../data/features_cleaner/Anthony_Fauci_0001.npy,../data/lfw_align/Anthony_Fauci/Anthony_Fauci_0002.png,../data/features_cleaner/Anthony_Fauci_0002.npy,True,M,M,sample_images/Anthony_Fauci_0001_pemiu.png,M
13,../data/lfw_align/Antony_Leung/Antony_Leung_0001.png,../data/features_cleaner/Antony_Leung_0001.npy,../data/lfw_align/Antony_Leung/Antony_Leung_0002.png,../data/features_cleaner/Antony_Leung_0002.npy,True,M,M,sample_images/Antony_Leung_0001_pemiu.png,M
14,../data/lfw_align/Antony_Leung/Antony_Leung_0002.png,../data/features_cleaner/Antony_Leung_0002.npy,../data/lfw_align/Antony_Leung/Antony_Leung_0003.png,../data/features_cleaner/Antony_Leung_0003.npy,True,M,M,sample_images/Antony_Leung_0002_pemiu.png,F
15,../data/lfw_align/Anwar_Ibrahim/Anwar_Ibrahim_0001.png,../data/features_cleaner/Anwar_Ibrahim_0001.npy,../data/lfw_align/Anwar_Ibrahim/Anwar_Ibrahim_0002.png,../data/features_cleaner/Anwar_Ibrahim_0002.npy,True,M,M,sample_images/Anwar_Ibrahim_0001_pemiu.png,F
16,../data/lfw_align/Augusto_Pinochet/Augusto_Pinochet_0001.png,../data/features_cleaner/Augusto_Pinochet_0001.npy,../data/lfw_align/Augusto_Pinochet/Augusto_Pinochet_0002.png,../data/features_cleaner/Augusto_Pinochet_0002.npy,True,M,M,sample_images/Augusto_Pinochet_0001_pemiu.png,M
17,../data/lfw_align/Barbara_Brezigar/Barbara_Brezigar_0001.png,../data/features_cleaner/Barbara_Brezigar_0001.npy,../data/lfw_align/Barbara_Brezigar/Barbara_Brezigar_0002.png,../data/features_cleaner/Barbara_Brezigar_0002.npy,True,F,F,sample_images/Barbara_Brezigar_0001_pemiu.png,M
18,../data/lfw_align/Benjamin_Netanyahu/Benjamin_Netanyahu_0001.png,../data/features_cleaner/Benjamin_Netanyahu_0001.npy,../data/lfw_align/Benjamin_Netanyahu/Benjamin_Netanyahu_0004.png,../data/features_cleaner/Benjamin_Netanyahu_0004.npy,True,M,M,sample_images/Benjamin_Netanyahu_0001_pemiu.png,F
19,../data/lfw_align/Benjamin_Netanyahu/Benjamin_Netanyahu_0004.png,../data/features_cleaner/Benjamin_Netanyahu_0004.npy,../data/lfw_align/Benjamin_Netanyahu/Benjamin_Netanyahu_0005.png,../data/features_cleaner/Benjamin_Netanyahu_0005.npy,True,M,M,sample_images/Benjamin_Netanyahu_0004_pemiu.png,F
20,../data/lfw_align/Bernard_Law/Bernard_Law_0002.png,../data/features_cleaner/Bernard_Law_0002.npy,../data/lfw_align/Bernard_Law/Bernard_Law_0003.png,../data/features_cleaner/Bernard_Law_0003.npy,True,M,M,sample_images/Bernard_Law_0002_pemiu.png,F
21,../data/lfw_align/Bernard_Law/Bernard_Law_0003.png,../data/features_cleaner/Bernard_Law_0003.npy,../data/lfw_align/Bernard_Law/Bernard_Law_0004.png,../data/features_cleaner/Bernard_Law_0004.npy,True,M,M,sample_images/Bernard_Law_0003_pemiu.png,F
22,../data/lfw_align/Bertrand_Bonello/Bertrand_Bonello_0001.png,../data/features_cleaner/Bertrand_Bonello_0001.npy,../data/lfw_align/Bertrand_Bonello/Bertrand_Bonello_0002.png,../data/features_cleaner/Bertrand_Bonello_0002.npy,True,M,M,sample_images/Bertrand_Bonello_0001_pemiu.png,M
23,../data/lfw_align/Bill_Frist/Bill_Frist_0002.png,../data/features_cleaner/Bill_Frist_0002.npy,../data/lfw_align/Bill_Frist/Bill_Frist_0009.png,../data/features_cleaner/Bill_Frist_0009.npy,True,M,M,sample_images/Bill_Frist_0002_pemiu.png,M
24,../data/lfw_align/Bill_Frist/Bill_Frist_0004.png,../data/features_cleaner/Bill_Frist_0004.npy,../data/lfw_align/Bill_Frist/Bill_Frist_0005.png,../data/features_cleaner/Bill_Frist_0005.npy,True,M,M,sample_images/Bill_Frist_0004_pemiu.png,F
25,../data/lfw_align/Bob_Graham/Bob_Graham_0002.png,../data/features_cleaner/Bob_Graham_0002.npy,../data/lfw_align/Bob_Graham/Bob_Graham_0004.png,../data/features_cleaner/Bob_Graham_0004.npy,True,M,M,sample_images/Bob_Graham_0002_pemiu.png,M
26,../data/lfw_align/Bob_Graham/Bob_Graham_0003.png,../data/features_cleaner/Bob_Graham_0003.npy,../data/lfw_align/Bob_Graham/Bob_Graham_0006.png,../data/features_cleaner/Bob_Graham_0006.npy,True,M,M,sample_images/Bob_Graham_0003_pemiu.png,F
27,../data/lfw_align/Bob_Graham/Bob_Graham_0004.png,../data/features_cleaner/Bob_Graham_0004.npy,../data/lfw_align/Bob_Graham/Bob_Graham_0006.png,../data/features_cleaner/Bob_Graham_0006.npy,True,M,M,sample_images/Bob_Graham_0004_pemiu.png,M
28,../data/lfw_align/Bob_Graham/Bob_Graham_0005.png,../data/features_cleaner/Bob_Graham_0005.npy,../data/lfw_align/Bob_Graham/Bob_Graham_0006.png,../data/features_cleaner/Bob_Graham_0006.npy,True,M,M,sample_images/Bob_Graham_0005_pemiu.png,F
29,../data/lfw_align/Boris_Becker/Boris_Becker_0002.png,../data/features_cleaner/Boris_Becker_0002.npy,../data/lfw_align/Boris_Becker/Boris_Becker_0006.png,../data/features_cleaner/Boris_Becker_0006.npy,True,M,M,sample_images/Boris_Becker_0002_pemiu.png,M
30,../data/lfw_align/Brad_Johnson/Brad_Johnson_0001.png,../data/features_cleaner/Brad_Johnson_0001.npy,../data/lfw_align/Brad_Johnson/Brad_Johnson_0003.png,../data/features_cleaner/Brad_Johnson_0003.npy,True,M,M,sample_images/Brad_Johnson_0001_pemiu.png,M
31,../data/lfw_align/Brad_Johnson/Brad_Johnson_0002.png,../data/features_cleaner/Brad_Johnson_0002.npy,../data/lfw_align/Brad_Johnson/Brad_Johnson_0003.png,../data/features_cleaner/Brad_Johnson_0003.npy,True,M,M,sample_images/Brad_Johnson_0002_pemiu.png,F
32,../data/lfw_align/Brad_Johnson/Brad_Johnson_0002.png,../data/features_cleaner/Brad_Johnson_0002.npy,../data/lfw_align/Brad_Johnson/Brad_Johnson_0004.png,../data/features_cleaner/Brad_Johnson_0004.npy,True,M,M,sample_images/Brad_Johnson_0002_pemiu.png,F
33,../data/lfw_align/Brian_Griese/Brian_Griese_0001.png,../data/features_cleaner/Brian_Griese_0001.npy,../data/lfw_align/Brian_Griese/Brian_Griese_0002.png,../data/features_cleaner/Brian_Griese_0002.npy,True,M,M,sample_images/Brian_Griese_0001_pemiu.png,M
34,../data/lfw_align/Candice_Bergen/Candice_Bergen_0001.png,../data/features_cleaner/Candice_Bergen_0001.npy,../data/lfw_align/Candice_Bergen/Candice_Bergen_0002.png,../data/features_cleaner/Candice_Bergen_0002.npy,True,F,F,sample_images/Candice_Bergen_0001_pemiu.png,M
35,../data/lfw_align/Candice_Bergen/Candice_Bergen_0002.png,../data/features_cleaner/Candice_Bergen_0002.npy,../data/lfw_align/Candice_Bergen/Candice_Bergen_0003.png,../data/features_cleaner/Candice_Bergen_0003.npy,True,F,F,sample_images/Candice_Bergen_0002_pemiu.png,F
36,../data/lfw_align/Carla_Myers/Carla_Myers_0001.png,../data/features_cleaner/Carla_Myers_0001.npy,../data/lfw_align/Carla_Myers/Carla_Myers_0002.png,../data/features_cleaner/Carla_Myers_0002.npy,True,F,F,sample_images/Carla_Myers_0001_pemiu.png,F
37,../data/lfw_align/Cathy_Freeman/Cathy_Freeman_0001.png,../data/features_cleaner/Cathy_Freeman_0001.npy,../data/lfw_align/Cathy_Freeman/Cathy_Freeman_0002.png,../data/features_cleaner/Cathy_Freeman_0002.npy,True,F,F,sample_images/Cathy_Freeman_0001_pemiu.png,F
38,../data/lfw_align/Chang_Dae-whan/Chang_Dae-whan_0001.png,../data/features_cleaner/Chang_Dae-whan_0001.npy,../data/lfw_align/Chang_Dae-whan/Chang_Dae-whan_0002.png,../data/features_cleaner/Chang_Dae-whan_0002.npy,True,M,M,sample_images/Chang_Dae-whan_0001_pemiu.png,F
39,../data/lfw_align/Charles_Grassley/Charles_Grassley_0001.png,../data/features_cleaner/Charles_Grassley_0001.npy,../data/lfw_align/Charles_Grassley/Charles_Grassley_0002.png,../data/features_cleaner/Charles_Grassley_0002.npy,True,M,M,sample_images/Charles_Grassley_0001_pemiu.png,F
40,../data/lfw_align/Clare_Short/Clare_Short_0001.png,../data/features_cleaner/Clare_Short_0001.npy,../data/lfw_align/Clare_Short/Clare_Short_0003.png,../data/features_cleaner/Clare_Short_0003.npy,True,F,F,sample_images/Clare_Short_0001_pemiu.png,F
41,../data/lfw_align/Clare_Short/Clare_Short_0001.png,../data/features_cleaner/Clare_Short_0001.npy,../data/lfw_align/Clare_Short/Clare_Short_0004.png,../data/features_cleaner/Clare_Short_0004.npy,True,F,F,sample_images/Clare_Short_0001_pemiu.png,F
42,../data/lfw_align/Corinne_Coman/Corinne_Coman_0001.png,../data/features_cleaner/Corinne_Coman_0001.npy,../data/lfw_align/Corinne_Coman/Corinne_Coman_0002.png,../data/features_cleaner/Corinne_Coman_0002.npy,True,F,F,sample_images/Corinne_Coman_0001_pemiu.png,M
43,../data/lfw_align/Dai_Bachtiar/Dai_Bachtiar_0001.png,../data/features_cleaner/Dai_Bachtiar_0001.npy,../data/lfw_align/Dai_Bachtiar/Dai_Bachtiar_0002.png,../data/features_cleaner/Dai_Bachtiar_0002.npy,True,M,M,sample_images/Dai_Bachtiar_0001_pemiu.png,M
44,../data/lfw_align/Dale_Earnhardt_Jr/Dale_Earnhardt_Jr_0001.png,../data/features_cleaner/Dale_Earnhardt_Jr_0001.npy,../data/lfw_align/Dale_Earnhardt_Jr/Dale_Earnhardt_Jr_0003.png,../data/features_cleaner/Dale_Earnhardt_Jr_0003.npy,True,M,M,sample_images/Dale_Earnhardt_Jr_0001_pemiu.png,F
45,../data/lfw_align/David_Caruso/David_Caruso_0001.png,../data/features_cleaner/David_Caruso_0001.npy,../data/lfw_align/David_Caruso/David_Caruso_0002.png,../data/features_cleaner/David_Caruso_0002.npy,True,M,M,sample_images/David_Caruso_0001_pemiu.png,F
46,../data/lfw_align/Demi_Moore/Demi_Moore_0001.png,../data/features_cleaner/Demi_Moore_0001.npy,../data/lfw_align/Demi_Moore/Demi_Moore_0003.png,../data/features_cleaner/Demi_Moore_0003.npy,True,F,F,sample_images/Demi_Moore_0001_pemiu.png,M
47,../data/lfw_align/Dick_Vermeil/Dick_Vermeil_0001.png,../data/features_cleaner/Dick_Vermeil_0001.npy,../data/lfw_align/Dick_Vermeil/Dick_Vermeil_0002.png,../data/features_cleaner/Dick_Vermeil_0002.npy,True,M,M,sample_images/Dick_Vermeil_0001_pemiu.png,F
48,../data/lfw_align/Doris_Roberts/Doris_Roberts_0001.png,../data/features_cleaner/Doris_Roberts_0001.npy,../data/lfw_align/Doris_Roberts/Doris_Roberts_0002.png,../data/features_cleaner/Doris_Roberts_0002.npy,True,F,F,sample_images/Doris_Roberts_0001_pemiu.png,F
49,../data/lfw_align/Doris_Roberts/Doris_Roberts_0001.png,../data/features_cleaner/Doris_Roberts_0001.npy,../data/lfw_align/Doris_Roberts/Doris_Roberts_0003.png,../data/features_cleaner/Doris_Roberts_0003.npy,True,F,F,sample_images/Doris_Roberts_0001_pemiu.png,F
50,../data/lfw_align/Drew_Barrymore/Drew_Barrymore_0001.png,../data/features_cleaner/Drew_Barrymore_0001.npy,../data/lfw_align/Drew_Barrymore/Drew_Barrymore_0002.png,../data/features_cleaner/Drew_Barrymore_0002.npy,True,F,F,sample_images/Drew_Barrymore_0001_pemiu.png,F
51,../data/lfw_align/Edmund_Stoiber/Edmund_Stoiber_0004.png,../data/features_cleaner/Edmund_Stoiber_0004.npy,../data/lfw_align/Edmund_Stoiber/Edmund_Stoiber_0007.png,../data/features_cleaner/Edmund_Stoiber_0007.npy,True,M,M,sample_images/Edmund_Stoiber_0004_pemiu.png,F
52,../data/lfw_align/Edmund_Stoiber/Edmund_Stoiber_0005.png,../data/features_cleaner/Edmund_Stoiber_0005.npy,../data/lfw_align/Edmund_Stoiber/Edmund_Stoiber_0007.png,../data/features_cleaner/Edmund_Stoiber_0007.npy,True,M,M,sample_images/Edmund_Stoiber_0005_pemiu.png,F
53,../data/lfw_align/Edmund_Stoiber/Edmund_Stoiber_0007.png,../data/features_cleaner/Edmund_Stoiber_0007.npy,../data/lfw_align/Edmund_Stoiber/Edmund_Stoiber_0012.png,../data/features_cleaner/Edmund_Stoiber_0012.npy,True,M,M,sample_images/Edmund_Stoiber_0007_pemiu.png,M
54,../data/lfw_align/Edmund_Stoiber/Edmund_Stoiber_0009.png,../data/features_cleaner/Edmund_Stoiber_0009.npy,../data/lfw_align/Edmund_Stoiber/Edmund_Stoiber_0011.png,../data/features_cleaner/Edmund_Stoiber_0011.npy,True,M,M,sample_images/Edmund_Stoiber_0009_pemiu.png,M
55,../data/lfw_align/Elinor_Caplan/Elinor_Caplan_0001.png,../data/features_cleaner/Elinor_Caplan_0001.npy,../data/lfw_align/Elinor_Caplan/Elinor_Caplan_0002.png,../data/features_cleaner/Elinor_Caplan_0002.npy,True,F,F,sample_images/Elinor_Caplan_0001_pemiu.png,M
56,../data/lfw_align/Emmanuelle_Beart/Emmanuelle_Beart_0001.png,../data/features_cleaner/Emmanuelle_Beart_0001.npy,../data/lfw_align/Emmanuelle_Beart/Emmanuelle_Beart_0002.png,../data/features_cleaner/Emmanuelle_Beart_0002.npy,True,F,F,sample_images/Emmanuelle_Beart_0001_pemiu.png,F
57,../data/lfw_align/Emmanuelle_Beart/Emmanuelle_Beart_0001.png,../data/features_cleaner/Emmanuelle_Beart_0001.npy,../data/lfw_align/Emmanuelle_Beart/Emmanuelle_Beart_0003.png,../data/features_cleaner/Emmanuelle_Beart_0003.npy,True,F,F,sample_images/Emmanuelle_Beart_0001_pemiu.png,F
58,../data/lfw_align/Federico_Trillo/Federico_Trillo_0001.png,../data/features_cleaner/Federico_Trillo_0001.npy,../data/lfw_align/Federico_Trillo/Federico_Trillo_0002.png,../data/features_cleaner/Federico_Trillo_0002.npy,True,M,M,sample_images/Federico_Trillo_0001_pemiu.png,M
59,../data/lfw_align/Federico_Trillo/Federico_Trillo_0001.png,../data/features_cleaner/Federico_Trillo_0001.npy,../data/lfw_align/Federico_Trillo/Federico_Trillo_0003.png,../data/features_cleaner/Federico_Trillo_0003.npy,True,M,M,sample_images/Federico_Trillo_0001_pemiu.png,M
60,../data/lfw_align/Federico_Trillo/Federico_Trillo_0002.png,../data/features_cleaner/Federico_Trillo_0002.npy,../data/lfw_align/Federico_Trillo/Federico_Trillo_0003.png,../data/features_cleaner/Federico_Trillo_0003.npy,True,M,M,sample_images/Federico_Trillo_0002_pemiu.png,F
61,../data/lfw_align/Francis_Ford_Coppola/Francis_Ford_Coppola_0001.png,../data/features_cleaner/Francis_Ford_Coppola_0001.npy,../data/lfw_align/Francis_Ford_Coppola/Francis_Ford_Coppola_0002.png,../data/features_cleaner/Francis_Ford_Coppola_0002.npy,True,M,M,sample_images/Francis_Ford_Coppola_0001_pemiu.png,F
62,../data/lfw_align/Fred_Thompson/Fred_Thompson_0001.png,../data/features_cleaner/Fred_Thompson_0001.npy,../data/lfw_align/Fred_Thompson/Fred_Thompson_0002.png,../data/features_cleaner/Fred_Thompson_0002.npy,True,M,M,sample_images/Fred_Thompson_0001_pemiu.png,F
63,../data/lfw_align/Fred_Thompson/Fred_Thompson_0001.png,../data/features_cleaner/Fred_Thompson_0001.npy,../data/lfw_align/Fred_Thompson/Fred_Thompson_0003.png,../data/features_cleaner/Fred_Thompson_0003.npy,True,M,M,sample_images/Fred_Thompson_0001_pemiu.png,F
64,../data/lfw_align/Fred_Thompson/Fred_Thompson_0002.png,../data/features_cleaner/Fred_Thompson_0002.npy,../data/lfw_align/Fred_Thompson/Fred_Thompson_0003.png,../data/features_cleaner/Fred_Thompson_0003.npy,True,M,M,sample_images/Fred_Thompson_0002_pemiu.png,F
65,../data/lfw_align/Garry_Trudeau/Garry_Trudeau_0001.png,../data/features_cleaner/Garry_Trudeau_0001.npy,../data/lfw_align/Garry_Trudeau/Garry_Trudeau_0002.png,../data/features_cleaner/Garry_Trudeau_0002.npy,True,M,M,sample_images/Garry_Trudeau_0001_pemiu.png,F
66,../data/lfw_align/Gary_Williams/Gary_Williams_0001.png,../data/features_cleaner/Gary_Williams_0001.npy,../data/lfw_align/Gary_Williams/Gary_Williams_0002.png,../data/features_cleaner/Gary_Williams_0002.npy,True,M,M,sample_images/Gary_Williams_0001_pemiu.png,F
67,../data/lfw_align/Gene_Robinson/Gene_Robinson_0001.png,../data/features_cleaner/Gene_Robinson_0001.npy,../data/lfw_align/Gene_Robinson/Gene_Robinson_0002.png,../data/features_cleaner/Gene_Robinson_0002.npy,True,M,M,sample_images/Gene_Robinson_0001_pemiu.png,F
68,../data/lfw_align/Gene_Robinson/Gene_Robinson_0001.png,../data/features_cleaner/Gene_Robinson_0001.npy,../data/lfw_align/Gene_Robinson/Gene_Robinson_0003.png,../data/features_cleaner/Gene_Robinson_0003.npy,True,M,M,sample_images/Gene_Robinson_0001_pemiu.png,F
69,../data/lfw_align/Gene_Robinson/Gene_Robinson_0002.png,../data/features_cleaner/Gene_Robinson_0002.npy,../data/lfw_align/Gene_Robinson/Gene_Robinson_0003.png,../data/features_cleaner/Gene_Robinson_0003.npy,True,M,M,sample_images/Gene_Robinson_0002_pemiu.png,M
70,../data/lfw_align/George_Galloway/George_Galloway_0001.png,../data/features_cleaner/George_Galloway_0001.npy,../data/lfw_align/George_Galloway/George_Galloway_0003.png,../data/features_cleaner/George_Galloway_0003.npy,True,M,M,sample_images/George_Galloway_0001_pemiu.png,M
71,../data/lfw_align/George_Galloway/George_Galloway_0002.png,../data/features_cleaner/George_Galloway_0002.npy,../data/lfw_align/George_Galloway/George_Galloway_0003.png,../data/features_cleaner/George_Galloway_0003.npy,True,M,M,sample_images/George_Galloway_0002_pemiu.png,F
72,../data/lfw_align/George_Galloway/George_Galloway_0002.png,../data/features_cleaner/George_Galloway_0002.npy,../data/lfw_align/George_Galloway/George_Galloway_0004.png,../data/features_cleaner/George_Galloway_0004.npy,True,M,M,sample_images/George_Galloway_0002_pemiu.png,F
73,../data/lfw_align/Geraldine_Chaplin/Geraldine_Chaplin_0001.png,../data/features_cleaner/Geraldine_Chaplin_0001.npy,../data/lfw_align/Geraldine_Chaplin/Geraldine_Chaplin_0002.png,../data/features_cleaner/Geraldine_Chaplin_0002.npy,True,F,F,sample_images/Geraldine_Chaplin_0001_pemiu.png,M
74,../data/lfw_align/Geraldine_Chaplin/Geraldine_Chaplin_0001.png,../data/features_cleaner/Geraldine_Chaplin_0001.npy,../data/lfw_align/Geraldine_Chaplin/Geraldine_Chaplin_0004.png,../data/features_cleaner/Geraldine_Chaplin_0004.npy,True,F,F,sample_images/Geraldine_Chaplin_0001_pemiu.png,M
75,../data/lfw_align/Geraldine_Chaplin/Geraldine_Chaplin_0003.png,../data/features_cleaner/Geraldine_Chaplin_0003.npy,../data/lfw_align/Geraldine_Chaplin/Geraldine_Chaplin_0004.png,../data/features_cleaner/Geraldine_Chaplin_0004.npy,True,F,F,sample_images/Geraldine_Chaplin_0003_pemiu.png,M
76,../data/lfw_align/Gerardo_Gambala/Gerardo_Gambala_0001.png,../data/features_cleaner/Gerardo_Gambala_0001.npy,../data/lfw_align/Gerardo_Gambala/Gerardo_Gambala_0002.png,../data/features_cleaner/Gerardo_Gambala_0002.npy,True,M,M,sample_images/Gerardo_Gambala_0001_pemiu.png,M
77,../data/lfw_align/Gian_Marco/Gian_Marco_0001.png,../data/features_cleaner/Gian_Marco_0001.npy,../data/lfw_align/Gian_Marco/Gian_Marco_0002.png,../data/features_cleaner/Gian_Marco_0002.npy,True,M,M,sample_images/Gian_Marco_0001_pemiu.png,F
78,../data/lfw_align/Gian_Marco/Gian_Marco_0002.png,../data/features_cleaner/Gian_Marco_0002.npy,../data/lfw_align/Gian_Marco/Gian_Marco_0003.png,../data/features_cleaner/Gian_Marco_0003.npy,True,M,M,sample_images/Gian_Marco_0002_pemiu.png,M
79,../data/lfw_align/Gillian_Anderson/Gillian_Anderson_0001.png,../data/features_cleaner/Gillian_Anderson_0001.npy,../data/lfw_align/Gillian_Anderson/Gillian_Anderson_0002.png,../data/features_cleaner/Gillian_Anderson_0002.npy,True,F,F,sample_images/Gillian_Anderson_0001_pemiu.png,M
80,../data/lfw_align/Gordon_Brown/Gordon_Brown_0006.png,../data/features_cleaner/Gordon_Brown_0006.npy,../data/lfw_align/Gordon_Brown/Gordon_Brown_0009.png,../data/features_cleaner/Gordon_Brown_0009.npy,True,M,M,sample_images/Gordon_Brown_0006_pemiu.png,F
81,../data/lfw_align/Gordon_Brown/Gordon_Brown_0010.png,../data/features_cleaner/Gordon_Brown_0010.npy,../data/lfw_align/Gordon_Brown/Gordon_Brown_0013.png,../data/features_cleaner/Gordon_Brown_0013.npy,True,M,M,sample_images/Gordon_Brown_0010_pemiu.png,F
82,../data/lfw_align/Grant_Hackett/Grant_Hackett_0001.png,../data/features_cleaner/Grant_Hackett_0001.npy,../data/lfw_align/Grant_Hackett/Grant_Hackett_0002.png,../data/features_cleaner/Grant_Hackett_0002.npy,True,M,M,sample_images/Grant_Hackett_0001_pemiu.png,F
83,../data/lfw_align/Grant_Hackett/Grant_Hackett_0001.png,../data/features_cleaner/Grant_Hackett_0001.npy,../data/lfw_align/Grant_Hackett/Grant_Hackett_0003.png,../data/features_cleaner/Grant_Hackett_0003.npy,True,M,M,sample_images/Grant_Hackett_0001_pemiu.png,F
84,../data/lfw_align/Grant_Hackett/Grant_Hackett_0001.png,../data/features_cleaner/Grant_Hackett_0001.npy,../data/lfw_align/Grant_Hackett/Grant_Hackett_0005.png,../data/features_cleaner/Grant_Hackett_0005.npy,True,M,M,sample_images/Grant_Hackett_0001_pemiu.png,F
85,../data/lfw_align/Gray_Davis/Gray_Davis_0007.png,../data/features_cleaner/Gray_Davis_0007.npy,../data/lfw_align/Gray_Davis/Gray_Davis_0022.png,../data/features_cleaner/Gray_Davis_0022.npy,True,M,M,sample_images/Gray_Davis_0007_pemiu.png,M
86,../data/lfw_align/Gray_Davis/Gray_Davis_0021.png,../data/features_cleaner/Gray_Davis_0021.npy,../data/lfw_align/Gray_Davis/Gray_Davis_0026.png,../data/features_cleaner/Gray_Davis_0026.npy,True,M,M,sample_images/Gray_Davis_0021_pemiu.png,F
87,../data/lfw_align/Gregg_Popovich/Gregg_Popovich_0001.png,../data/features_cleaner/Gregg_Popovich_0001.npy,../data/lfw_align/Gregg_Popovich/Gregg_Popovich_0005.png,../data/features_cleaner/Gregg_Popovich_0005.npy,True,M,M,sample_images/Gregg_Popovich_0001_pemiu.png,M
88,../data/lfw_align/Gregg_Popovich/Gregg_Popovich_0003.png,../data/features_cleaner/Gregg_Popovich_0003.npy,../data/lfw_align/Gregg_Popovich/Gregg_Popovich_0004.png,../data/features_cleaner/Gregg_Popovich_0004.npy,True,M,M,sample_images/Gregg_Popovich_0003_pemiu.png,M
89,../data/lfw_align/Guy_Ritchie/Guy_Ritchie_0001.png,../data/features_cleaner/Guy_Ritchie_0001.npy,../data/lfw_align/Guy_Ritchie/Guy_Ritchie_0002.png,../data/features_cleaner/Guy_Ritchie_0002.npy,True,M,M,sample_images/Guy_Ritchie_0001_pemiu.png,M
